City,Murders,Murders/100K
"Chester, PA",29,85.33
"McKeesport, PA",13,62.09
"Johnstown, PA",9,42.97
"Swissvale, PA",5,57.25
"York, PA",14,31.92
"Philadelphia, PA",316,20.06
"Punxsutawney, PA",4,69.08
"Harrisburg, PA",13,26.64
"Solebury Township, PA",4,46.6
"Pittsburgh, PA",55,17.98
"Swatara Township, PA",6,24.13
"Darby, PA",4,37.57
"McKees Rocks, PA",3,50.62
"West Brandywine Township, PA",3,40.26
"Uniontown, PA",3,30.38
"Allentown, PA",16,13.24
"Steelton, PA",2,33.92
"Wilkins Township, PA",2,32.14
"Aliquippa, PA",2,22.1
"Penn Hills, PA",5,12.07
"Elizabethtown, PA",2,17.18
"Reading, PA",9,10.29
"Butler, PA",2,15.32
"Sharon, PA",2,15.03
"Norristown, PA",4,11.64
"Indiana, PA",2,14.3
"Lancaster, PA",5,8.45
"Phoenixville, PA",2,11.8
"Stroud Area Regional, PA",3,8.76
"West Manchester Township, PA",2,10.6
"Erie, PA",6,6.12
"Chambersburg, PA",2,9.64
"Kutztown, PA",1,19.92
"Palmer Township, PA",2,9.26
"Schuylkill Haven, PA",1,19.36
"Duquesne, PA",1,18.16
"West Goshen Township, PA",2,8.61
"Mount Carmel, PA",1,17.72
"Plymouth, PA",1,17.34
"Pocono Mountain Regional, PA",3,7.11
"Bethlehem Township, PA",2,8.34
"Somerset, PA",1,16.82
"Franklin, PA",1,16.18
"Bellefonte, PA",1,15.82
"Cumberland Township, Greene County, PA",1,15.79
"Haverford Township, PA",3,6.11
"Lebanon, PA",2,7.76
"East Coventry Township, PA",1,14.84
"Tamaqua, PA",1,14.82
"Archbald, PA",1,14.34
"Middlesex Township, Cumberland County, PA",1,13.47
"Williamsport, PA",2,6.96
"Ellwood City, PA",1,13.38
"Pittston, PA",1,13.19
"Spring Township, Centre County, PA",1,12.97
"Latrobe, PA",1,12.58
"North Coventry Township, PA",1,12.5
"Kennedy Township, PA",1,12.18
"Northern York Regional, PA",3,4.34
"Susquehanna Regional, PA",1,11.9
"Upper Makefield Township, PA",1,11.87
"Carbondale, PA",1,11.86
"Morrisville, PA",1,11.73
"Jeannette, PA",1,10.89
"Central Berks Regional, PA",1,10.62
"Wilkes-Barre, PA",2,4.95
"Berwick, PA",1,9.92
"Nanticoke, PA",1,9.86
"West Hills Regional, PA",1,9.84
"Hanover Township, Luzerne County, PA",1,9.24
"Northeastern Regional, PA",1,8.53
"Richland Township, Cambria County, PA",1,8.23
"New Kensington, PA",1,7.99
"Buffalo Valley Regional, PA",1,7.94
"Meadville, PA",1,7.75
"Coatesville, PA",1,7.66
"Richland Township, Bucks County, PA",1,7.56
"Washington, Washington County, PA",1,7.44
"Nether Providence Township, PA",1,7.25
"Hilltown Township, PA",1,6.55
"Hermitage, PA",1,6.34
"West Hempfield Township, PA",1,6.05
"Butler Township, Butler County, PA",1,5.99
"Upper Saucon Township, PA",1,5.97
"Lancaster Township, Lancaster County, PA",1,5.8
"Southwestern Regional, PA",1,5.63
"Plymouth Township, Montgomery County, PA",1,5.61
"Carlisle, PA",1,5.2
"Whitpain Township, PA",1,5.16
"Baldwin Borough, PA",1,5.07
"Northwest Lancaster County Regional, PA",1,5.06
"Muhlenberg Township, PA",1,4.96
"Hatfield Township, PA",1,4.78
"East Pennsboro Township, PA",1,4.59
"Pottstown, PA",1,4.4
"Hazleton, PA",1,4.07
"Plum, PA",1,3.64
"Whitehall Township, PA",1,3.63
"McCandless, PA",1,3.47
"Cranberry Township, PA",1,3.21
